Pre-Match PPG (Home),Pre-Match PPG (Away),home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,home_team_possession,team_a_xg,team_b_xg,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,result
1.2,1.3,3,4,4,1,3,0,11,8,5,4,11,20,64,0.0,0.0,1.89,3.52,4.72,1.0
0.9,1.3,5,7,2,0,2,0,12,13,7,6,11,13,37,0.0,0.0,2.94,3.29,2.62,1.0
1.6,1.5,3,9,1,1,2,0,11,15,5,6,16,26,49,0.0,0.0,3.33,3.38,2.33,2.0
1.2,0.6,1,1,1,0,2,0,6,7,2,0,16,8,43,0.0,0.0,2.01,3.45,4.22,1.0
1.3,1.4,3,9,3,0,4,0,5,5,4,3,17,17,45,0.0,0.0,2.84,3.4,2.64,1.0
1.0,2.18,5,9,1,0,1,0,9,5,5,3,15,13,30,0.0,0.0,4.58,3.56,1.9,2.0
1.36,1.27,4,2,4,1,2,0,3,7,0,3,17,19,48,0.0,0.0,2.63,3.34,2.9,0.0
2.09,1.36,3,2,4,0,3,0,7,8,4,3,20,16,49,0.0,0.0,1.92,3.54,4.52,0.0
2.09,1.64,4,2,2,0,1,0,9,7,4,0,17,15,51,0.0,0.0,2.08,3.47,3.9,0.0
1.73,1.55,7,1,1,0,1,0,14,11,3,5,18,16,58,0.0,0.0,1.61,3.94,6.63,0.0
0.91,0.91,5,4,1,0,2,0,6,6,5,4,18,22,49,0.0,0.0,0.0,0.0,0.0,0.0
1.64,1.55,9,4,0,0,3,0,10,10,2,2,12,12,53,0.0,0.0,1.64,3.88,6.33,1.0
1.36,1.36,4,7,4,0,1,1,6,13,6,4,20,10,49,0.0,0.0,2.16,3.3,3.87,0.0
1.0,1.55,5,4,3,0,5,0,9,5,4,3,17,12,58,0.0,0.0,3.34,3.3,2.36,2.0
1.45,0.64,6,2,0,0,3,0,13,12,7,5,16,20,45,0.0,0.0,1.81,3.67,4.9,1.0
1.18,0.45,8,2,0,0,2,0,14,3,6,2,10,11,56,0.0,0.0,1.83,3.66,4.77,2.0
1.27,1.27,2,5,1,0,2,0,10,6,5,3,14,11,42,0.0,0.0,2.83,3.4,2.61,2.0
1.27,1.09,10,6,2,0,3,0,6,6,2,4,21,13,50,0.0,0.0,2.05,3.53,3.86,0.0
1.45,1.36,4,4,4,1,3,0,8,8,2,5,24,20,45,0.0,0.0,3.14,3.35,2.42,2.0
2.09,1.27,9,0,2,0,3,0,15,3,7,2,9,18,65,0.0,0.0,1.5,4.36,7.82,0.0
0.82,0.18,4,10,2,0,1,0,14,18,8,8,10,13,36,0.0,0.0,2.52,3.38,3.01,1.0
1.18,1.64,3,5,2,0,2,0,13,7,5,4,11,19,46,0.0,0.0,3.01,3.29,2.57,2.0
1.73,1.36,2,6,2,0,0,0,9,10,0,4,13,18,44,0.0,0.0,2.54,3.32,3.03,0.0
1.17,1.17,2,3,1,0,1,0,10,7,4,6,14,16,49,0.0,0.0,2.68,3.23,2.92,2.0
1.08,1.42,3,7,0,0,4,0,5,11,2,7,19,22,47,0.0,0.0,2.14,3.35,3.85,0.0
2.17,1.5,5,5,1,1,2,0,9,9,6,4,11,14,57,0.0,0.0,2.11,3.51,3.77,0.0
0.92,1.25,4,6,2,0,3,0,12,12,6,4,22,15,48,0.0,0.0,2.76,3.32,2.76,1.0
1.5,1.5,2,3,1,0,3,0,6,6,3,4,15,16,49,0.0,0.0,1.99,3.57,4.12,0.0
1.58,0.25,8,5,0,0,3,0,8,9,4,3,12,14,64,0.0,0.0,1.75,3.71,5.48,1.0
1.83,1.25,6,3,3,0,2,0,14,6,5,0,15,20,65,0.0,0.0,1.86,3.67,4.64,1.0
1.5,1.67,6,3,0,0,1,0,17,8,9,6,11,9,58,0.0,0.0,2.44,3.26,3.24,0.0
2.17,2.25,2,5,0,0,3,0,10,14,7,8,13,15,46,0.0,0.0,3.14,3.35,2.45,0.0
1.42,1.25,3,7,1,0,2,0,6,9,4,7,15,10,47,0.0,0.0,2.37,3.31,3.32,0.0
1.83,0.67,5,3,0,0,3,0,11,10,6,5,7,22,59,0.0,0.0,2.1,3.45,3.85,2.0
1.08,1.5,7,4,1,1,1,0,9,5,4,3,9,8,49,0.0,0.0,3.02,3.28,2.57,2.0
